STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,DAPR,EVAP,MDPR,PGTM,PRCP,RAIN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT10,WT11
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/26/2018,6.04,,,,,0.59,1,0,0,83,94,69,,150,60,,,35.1,42.9,1,,1,,1,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/27/2018,4.47,,,,,0,0,0,0,79,92,68,,110,110,,,21,23,1,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/28/2018,3.36,,,,,0,0,0,0,82,94,72,,70,20,,,10.1,14.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/29/2018,5.37,,,,,0,0,0,0,85,95,77,,160,140,,,16.1,21,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/30/2018,7.83,,,,,0,0,0,0,84,94,72,,150,170,,,18.1,25.9,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/31/2018,10.29,,,,,0,0,0,0,85,94,75,,140,160,,,23,27.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/1/2018,7.61,,,,,0,0,0,0,85,96,75,,170,170,,,16.1,21.9,1,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/2/2018,6.49,,,,,0,0,0,0,86,96,78,,160,160,,,14.1,18.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/3/2018,5.82,,,,,0.01,1,0,0,85,97,72,,60,50,,,40.9,53,1,,1,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/4/2018,4.92,,,,,0,0,0,0,82,94,72,,150,140,,,16.1,19,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/5/2018,6.26,,,,,0,0,0,0,85,98,77,,110,240,,,16.1,19.9,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/6/2018,5.82,,,,,0.25,1,0,0,85,96,77,,130,120,,,23.9,30,,,1,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/7/2018,7.38,,,,,0,0,0,0,84,94,74,,130,130,,,17,23,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/8/2018,5.37,,,,,0,0,0,0,84,95,74,,140,150,,,17,21,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/9/2018,5.82,,,,,0,0,0,0,82,95,72,,140,140,,,23,27.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/10/2018,9.4,,,,,0,0,0,0,85,96,80,,170,230,,,17,25.9,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/11/2018,10.29,,,,,0,0,0,0,86,95,80,,170,170,,,21,29.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/12/2018,9.62,,,,,0,0,0,0,87,97,78,,160,180,,,19.9,32,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/13/2018,7.16,,,,,0,0,0,0,86,97,74,,130,140,,,21,25.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/14/2018,4.92,,,,,0,0,0,0,83,94,75,,170,170,,,23,30,,,1,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/15/2018,8.72,,,,,0,0,0,0,83,94,73,,150,150,,,23,25.9,,,1,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/16/2018,11.63,,,,,0,0,0,0,85,95,75,,150,140,,,25.9,33.1,,,,,,,,,
